sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5000/#/home/projects;60 ms;0;120 ms;57.4;0;122.4;2025-09-08T19:37:00.527Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:5000/#/home/projects;60 ms;0;110 ms;59;0;114.3;2025-09-08T19:37:59.577Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:5000/#/home/projects;70 ms;0;110 ms;66.7;0;109.4;2025-09-08T19:38:42.056Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:5000/#/home/projects;80 ms;0;120 ms;80.8;0;124.6;2025-09-08T19:39:32.931Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:5000/#/home/projects;60 ms;0;100 ms;57.4;0;101.5;2025-09-08T19:40:16.983Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;64 ms;0;114 ms;64.3;0;114.4;;;;;;
