sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/dashboard;40 ms;0;140 ms;38.9;0;141.9;2025-09-08T18:32:30.542Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:4000/dashboard;30 ms;0;140 ms;28.2;0;138.2;2025-09-08T18:33:21.731Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:4000/dashboard;30 ms;0;120 ms;29.1;0;123.2;2025-09-08T18:34:07.595Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:4000/dashboard;30 ms;0;130 ms;32.3;0;132.3;2025-09-08T18:34:44.825Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:4000/dashboard;30 ms;0;130 ms;30.9;0;132.8;2025-09-08T18:35:23.351Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;32 ms;0;134 ms;31.9;0;133.7;;;;;;
