sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5200/#/home/projects;0 ms;0;30 ms;0;0;25.3;2025-09-08T19:18:15.073Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:5200/#/home/projects;0 ms;0;30 ms;0;0;30.5;2025-09-08T19:19:07.545Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:5200/#/home/projects;0 ms;0;40 ms;0;0;41.6;2025-09-08T19:19:46.277Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:5200/#/home/projects;0 ms;0;20 ms;0;0;24.5;2025-09-08T19:20:18.302Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:5200/#/home/projects;0 ms;0;30 ms;0;0;31.9;2025-09-08T19:20:50.606Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;0 ms;0;31 ms;0;0;30.8;;;;;;
