sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/dashboard;0 ms;0;40 ms;0;0;42.3;2025-09-08T18:28:37.385Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:4000/dashboard;0 ms;0.095;50 ms;0;0.09489812969334122;52.4;2025-09-08T18:29:18.068Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:4000/dashboard;0 ms;0;40 ms;0;0;43.7;2025-09-08T18:29:59.029Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:4000/dashboard;0 ms;0.095;40 ms;0;0.09489812969334122;43;2025-09-08T18:30:47.065Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:4000/dashboard;0 ms;0;50 ms;0;0;49.9;2025-09-08T18:31:37.831Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;0 ms;0.038;46 ms;0;0.038;46.3;;;;;;
