sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/projects;"1,310 ms";2.379;;1313.9;2.378864313218195;;2025-09-08T18:44:34.103Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:4000/projects;"1,250 ms";2.559;;1248.3;2.559133794626515;;2025-09-08T18:45:42.257Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:4000/projects;"1,080 ms";2.936;;1079.6;2.935751906256223;;2025-09-08T18:46:39.496Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:4000/projects;"1,370 ms";2.513;;1373.6;2.5128572199937773;;2025-09-08T18:47:44.413Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:4000/projects;"1,500 ms";2.325;;1497.2;2.324744251359571;;2025-09-08T18:48:45.104Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;1.3 s;2.542;;1302.5;2.5423;;;;;;;
