sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5200/#/home/projects;"1,210 ms";0;600 ms;1211;0;595.6;2025-09-08T19:27:29.914Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:5200/#/home/projects;"1,460 ms";0;780 ms;1460.5;0;779.9;2025-09-08T19:28:32.315Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:5200/#/home/projects;"1,250 ms";0;790 ms;1253.6;0;789.1;2025-09-08T19:29:15.800Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:5200/#/home/projects;"1,300 ms";0;740 ms;1299.1;0;744.3;2025-09-08T19:30:01.788Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:5200/#/home/projects;"1,270 ms";0;930 ms;1270.7;0;929.2;2025-09-08T19:30:47.622Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;1.3 s;0;768 ms;1299;0;767.6;;;;;;
