sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/dashboard;"1,540 ms";0;"1,520 ms";1535.3;0;1518.5;2025-09-08T13:19:50.391Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:4000/dashboard;"1,610 ms";0;"1,570 ms";1611.8;0;1572.6;2025-09-08T13:21:45.684Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:4000/dashboard;"1,900 ms";0;"1,830 ms";1901.5;0;1828.1;2025-09-08T14:18:21.202Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:4000/dashboard;"1,340 ms";0;"1,400 ms";1342.1;0;1404.3;2025-09-08T14:20:05.520Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:4000/dashboard;"1,840 ms";0;"1,810 ms";1836.8;0;1808.1;2025-09-08T14:22:01.008Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;1.6 s;0;1.6 s;1645.5;0;1626.3;;;;;;
