sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5000/#/home;960 ms;0;500 ms;962.1;0;495.1;2025-09-08T18:24:32.843Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:5000/#/home;"1,080 ms";0;500 ms;1083;0;501.7;2025-09-08T18:25:31.662Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:5000/#/home;890 ms;0;510 ms;887.7;0;512;2025-09-08T18:26:10.056Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:5000/#/home;"1,060 ms";0;560 ms;1064.6;0;556.4;2025-09-08T18:26:49.047Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:5000/#/home;980 ms;0;480 ms;977.8;0;477;2025-09-08T18:27:24.859Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;995 ms;0;508 ms;995;0;508.4;;;;;;
