sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/board;50 ms;0;140 ms;53.4;0;143.7;2025-09-09T08:33:47.927Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:4000/board;70 ms;0;160 ms;65.9;0;155.9;2025-09-09T08:35:00.476Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:4000/board;40 ms;0;110 ms;41.3;0;107.8;2025-09-09T08:36:07.039Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:4000/board;40 ms;0;120 ms;37.1;0;120.3;2025-09-09T08:36:41.246Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:4000/board;150 ms;0;220 ms;152.5;0;218.4;2025-09-09T08:37:14.277Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;70 ms;0;149 ms;70;0;149.2;;;;;;
