sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5000/#/home;50 ms;0;80 ms;46.8;0;81.9;2025-09-08T18:20:24.554Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:5000/#/home;50 ms;0;80 ms;49.8;0;75.6;2025-09-08T18:21:11.166Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:5000/#/home;50 ms;0;80 ms;51.8;0;75.6;2025-09-08T18:22:17.769Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:5000/#/home;50 ms;0;80 ms;50.1;0;75.6;2025-09-08T18:23:11.332Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:5000/#/home;40 ms;0;70 ms;43.8;0;72.5;2025-09-08T18:23:51.782Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;48 ms;0;76 ms;48.5;0;76.2;;;;;;
