sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5000/#/home/projects;"6,060 ms";0;670 ms;6055.7;0;674;2025-09-08T18:57:56.310Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:5000/#/home/projects;"6,070 ms";0;480 ms;6068.4;0;481;2025-09-08T18:59:04.994Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:5000/#/home/projects;"6,190 ms";0;710 ms;6185.7;0;710.5;2025-09-08T19:11:06.734Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:5000/#/home/projects;"5,890 ms";0;520 ms;5892.6;0;520.2;2025-09-08T19:12:05.709Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:5000/#/home/projects;"6,890 ms";0;840 ms;6888.4;0;836.7;2025-09-08T19:12:54.400Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;6.2 s;0;644 ms;6218.2;0;644.5;;;;;;
