sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5000/#/home;60 ms;0;50 ms;65;0;47.5;2025-09-08T14:26:35.743Z;12.6.1;timespan;desktop;devtools;devtools
2.html;http://localhost:5000/#/home;70 ms;0;60 ms;66.4;0;56.8;2025-09-08T14:28:33.771Z;12.6.1;timespan;desktop;devtools;devtools
3.html;http://localhost:5000/#/home;110 ms;0;100 ms;109.6;0;98.8;2025-09-08T14:29:42.151Z;12.6.1;timespan;desktop;devtools;devtools
4.html;http://localhost:5000/#/home;70 ms;0;60 ms;74.4;0;64.6;2025-09-08T14:30:44.381Z;12.6.1;timespan;desktop;devtools;devtools
5.html;http://localhost:5000/#/home;70 ms;0;80 ms;69.9;0;77.8;2025-09-08T14:31:37.022Z;12.6.1;timespan;desktop;devtools;devtools
AVG;;77 ms;0;69 ms;77.1;0;69.1;;;;;;
