sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:5200/#/home/board;560 ms;0;510 ms;555.9;0;512;2025-09-09T08:50:32.271Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:5200/#/home/board;620 ms;0;720 ms;618.4;0;715.1;2025-09-09T08:51:09.221Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:5200/#/home/board;600 ms;0;670 ms;595.3;0;670.8;2025-09-09T08:51:40.573Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:5200/#/home/board;620 ms;0;700 ms;622.3;0;701.3;2025-09-09T08:52:12.104Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:5200/#/home/board;630 ms;0;670 ms;628;0;665.3;2025-09-09T08:52:40.765Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;604 ms;0;653 ms;604;0;652.9;;;;;;
