sep=;
file;url;TBT;CLS;INP;TBT_ms;CLS_value;INP_ms;captured_at;lighthouse;gatherMode;formFactor;throttlingMethod;channel
1.html;http://localhost:4000/board;60 ms;0;;60.3;0;;2025-09-09T09:11:07.533Z;12.6.1;timespan;mobile;devtools;devtools
2.html;http://localhost:4000/board;70 ms;0;;65.6;0;;2025-09-09T09:11:50.288Z;12.6.1;timespan;mobile;devtools;devtools
3.html;http://localhost:4000/board;60 ms;0;;62.6;0;;2025-09-09T09:12:21.811Z;12.6.1;timespan;mobile;devtools;devtools
4.html;http://localhost:4000/board;50 ms;0;;53;0;;2025-09-09T09:12:50.705Z;12.6.1;timespan;mobile;devtools;devtools
5.html;http://localhost:4000/board;60 ms;0;;63.7;0;;2025-09-09T09:13:20.014Z;12.6.1;timespan;mobile;devtools;devtools
AVG;;61 ms;0;;61;0;;;;;;;
